id,number,name,categoryCode,date
DR3105-001,DR3105-001,USDA Chief Information Officers Council,3100,2024-10-23
DR3107-001,DR3107-001,Management of USDA IT Enterprise Initiatives,3100,2016-05-12
DR3111-001,DR3111-001,USDA Information Technology Strategic Plan Process,3100,2021-06-30
DR3130-010,DR3130-010,United States Department of Agriculture Enterprise Information Technology Governance,3130,2021-04-20
DR3145-001,DR3145-001,Oversight and Management of the Federal Information Technology Acquisition Reform Act (FITARA),3130,2021-05-07
DR3600-002,DR3600-002,Electronic-Government Program,3600,2020-11-24
DR3650-001,DR3650-001,Cloud Computing,3650,2025-01-22
